lote, construccion, banos, estacionamiento, recamaras, antiguedad, precio
88, 103, 2.5, 2, 3, 18, 2390000
105, 84, 2.5, 2, 3, 28, 1850000
124, 126, 2.5, 2, 3, 14, 2850000
65, 65, 1, 1, 2, 15, 1525000
133, 147, 3.5, 2, 3, 1, 2850000
119, 117, 3, 2, 3, 20, 2400000
105, 205, 2.5, 2, 2, 26, 2400000
234, 243, 2.5, 1, 3, 30, 4800000
114, 150, 3, 2, 3, 15, 2951000
114, 126, 2.5, 2, 3, 1, 2365000
90, 95, 2, 2, 3, 32, 1900000
105, 132, 1.5, 3, 3, 12, 2670000
105, 185, 3, 2, 3, 40, 2600000
205, 205, 3, 2, 2, 27, 2350000
114, 146, 3.5, 2, 3, 5, 2951000
145, 145, 2.5, 0, 3, 20, 2450000
90, 145, 2.5, 0, 4, 20, 2450000
227, 122, 2, 1, 4, 15, 1700000
105, 121, 1.5, 1, 3, 26, 2100000
140, 134, 2.5, 2, 3, 19, 2675000
105, 205, 3, 0, 2, 26, 2450000
127, 237, 3.5, 1, 4, 30, 3300000
119, 130, 3, 2, 3, 15, 2700000   
